0x71001bb000	p_glVertexAttrib3sv	D
0x71001bc000	p_glCopyConvolutionFilter1D	D
0x71001bd000	p_glGetVertexAttribArrayObjectivATI	D
0x71001bf000	p_glTexCoord3hNV	D
0x71001c0000	p_glDeformSGIX	D
0x71001c1000	p_glMapGrid1d	D
0x71001c2000	p_glGetProgramPipelineiv	D
0x71001c3000	p_glMultiTexCoord2svARB	D
0x71001c4000	p_glNamedProgramLocalParameter4dvEXT	D
0x71001c5000	p_glProgramEnvParametersI4uivNV	D
0x71001c6000	p_glTextureColorMaskSGIS	D
0x712aba35c0	p_eglQueryString	D
0x712aba35c8	p_eglGetCurrentDisplay	D
0x712aba3978	p_glCopyTexSubImage3D	D
0x712aba3980	p_glDrawRangeElements	D
0x712aba3988	p_glTexImage3D	D
0x712aba3990	p_glTexSubImage3D	D
0x712aba3998	p_glActiveTexture	D
0x712aba39a0	p_glClientActiveTexture	D
0x712aba39a8	p_glCompressedTexImage1D	D
0x712aba39b0	p_glCompressedTexImage2D	D
0x712aba39b8	p_glCompressedTexImage3D	D
0x712aba39c0	p_glCompressedTexSubImage1D	D
0x712aba39c8	p_glCompressedTexSubImage2D	D
0x712aba39d0	p_glCompressedTexSubImage3D	D
0x712aba39d8	p_glGetCompressedTexImage	D
0x712aba39e0	p_glLoadTransposeMatrixd	D
0x712aba39e8	p_glLoadTransposeMatrixf	D
0x712aba39f0	p_glMultTransposeMatrixd	D
0x712aba39f8	p_glMultTransposeMatrixf	D
0x712aba3a00	p_glMultiTexCoord1d	D
0x712aba3a08	p_glMultiTexCoord1dv	D
0x712aba3a10	p_glMultiTexCoord1f	D
0x712aba3a18	p_glMultiTexCoord1fv	D
0x712aba3a20	p_glMultiTexCoord1i	D
0x712aba3a28	p_glMultiTexCoord1iv	D
0x712aba3a30	p_glMultiTexCoord1s	D
0x712aba3a38	p_glMultiTexCoord1sv	D
0x712aba3a40	p_glMultiTexCoord2d	D
0x712aba3a48	p_glMultiTexCoord2dv	D
0x712aba3a50	p_glMultiTexCoord2f	D
0x712aba3a58	p_glMultiTexCoord2fv	D
0x712aba3a60	p_glMultiTexCoord2i	D
0x712aba3a68	p_glMultiTexCoord2iv	D
0x712aba3a70	p_glMultiTexCoord2s	D
0x712aba3a78	p_glMultiTexCoord2sv	D
0x712aba3a80	p_glMultiTexCoord3d	D
0x712aba3a88	p_glMultiTexCoord3dv	D
0x712aba3a90	p_glMultiTexCoord3f	D
0x712aba3a98	p_glMultiTexCoord3fv	D
0x712aba3aa0	p_glMultiTexCoord3i	D
0x712aba3aa8	p_glMultiTexCoord3iv	D
0x712aba3ab0	p_glMultiTexCoord3s	D
0x712aba3ab8	p_glMultiTexCoord3sv	D
0x712aba3ac0	p_glMultiTexCoord4d	D
0x712aba3ac8	p_glMultiTexCoord4dv	D
0x712aba3ad0	p_glMultiTexCoord4f	D
0x712aba3ad8	p_glMultiTexCoord4fv	D
0x712aba3ae0	p_glMultiTexCoord4i	D
0x712aba3ae8	p_glMultiTexCoord4iv	D
0x712aba3af0	p_glMultiTexCoord4s	D
0x712aba3af8	p_glMultiTexCoord4sv	D
0x712aba3b00	p_glSampleCoverage	D
0x712aba3b08	p_glBlendColor	D
0x712aba3b10	p_glBlendEquation	D
0x712aba3b18	p_glBlendFuncSeparate	D
0x712aba3b20	p_glFogCoordPointer	D
0x712aba3b28	p_glFogCoordd	D
0x712aba3b30	p_glFogCoorddv	D
0x712aba3b38	p_glFogCoordf	D
0x712aba3b40	p_glFogCoordfv	D
0x712aba3b48	p_glMultiDrawArrays	D
0x712aba3b50	p_glMultiDrawElements	D
0x712aba3b58	p_glPointParameterf	D
0x712aba3b60	p_glPointParameterfv	D
0x712aba3b68	p_glPointParameteri	D
0x712aba3b70	p_glPointParameteriv	D
0x712aba3b78	p_glSecondaryColor3b	D
0x712aba3b80	p_glSecondaryColor3bv	D
0x712aba3b88	p_glSecondaryColor3d	D
0x712aba3b90	p_glSecondaryColor3dv	D
0x712aba3b98	p_glSecondaryColor3f	D
0x712aba3ba0	p_glSecondaryColor3fv	D
0x712aba3ba8	p_glSecondaryColor3i	D
0x712aba3bb0	p_glSecondaryColor3iv	D
0x712aba3bb8	p_glSecondaryColor3s	D
0x712aba3bc0	p_glSecondaryColor3sv	D
0x712aba3bc8	p_glSecondaryColor3ub	D
0x712aba3bd0	p_glSecondaryColor3ubv	D
0x712aba3bd8	p_glSecondaryColor3ui	D
0x712aba3be0	p_glSecondaryColor3uiv	D
0x712aba3be8	p_glSecondaryColor3us	D
0x712aba3bf0	p_glSecondaryColor3usv	D
0x712aba3bf8	p_glSecondaryColorPointer	D
0x712aba3c00	p_glWindowPos2d	D
0x712aba3c08	p_glWindowPos2dv	D
0x712aba3c10	p_glWindowPos2f	D
0x712aba3c18	p_glWindowPos2fv	D
0x712aba3c20	p_glWindowPos2i	D
0x712aba3c28	p_glWindowPos2iv	D
0x712aba3c30	p_glWindowPos2s	D
